read(MB/s) write(MB/s) Queue_Length Utilization date time elapsed_time
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1945
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1950
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1955
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1960
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1965
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1970
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1975
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1980
0.02 0.00 0.01 0.63 2016-04-15 16:24:56 1985
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 1990
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 1995
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2000
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2005
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2010
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2015
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2020
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2025
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2030
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2035
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2040
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2045
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2050
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2055
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2060
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2065
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2070
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2075
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2080
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2085
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2090
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2095
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2100
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2105
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2110
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2115
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2120
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2125
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2130
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2135
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2140
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2145
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2150
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2155
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2160
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2165
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2170
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2175
0.02 0.00 0.01 0.63 2016-04-15 16:24:57 2180
